player_id,names,born,bat_type,bowl_type,height,matches,country
389666,Mohammad Abbas,"March 10, 1990, Sialkot, Punjab",Right-hand bat,Right-arm medium-fast,0,12,Pakistan
1081146,Ajay Raj Singh,date unknown,0,0,0,0,India
11995,Wesley John Durston,"October 6, 1980, Taunton, Somerset",Right-hand bat,Right-arm offbreak,5 ft 10 in,119,England
32240,Niraj Kanubhai Patel,"March 26, 1981, Ahmedabad, Gujarat",Left-hand bat,0,0,37,India
55346,Alexander Graeme Cremer,"September 19, 1986, Harare",Right-hand bat,Legbreak googly,0,78,Zimbabwe
40926,Junaid Zia,"December 11, 1983, Lahore, Punjab",Right-hand bat,Right-arm medium-fast,0,35,Pakistan
1070219,Mandadige Lahiru Sanjaya Madushan Parakrama Fernando,"January 11, 1994, Panadura",Right-hand bat,Legbreak,0,4,Sri Lanka
235521,Tafadzwa Paul Kamungozi,"June 8, 1987, Harare",Right-hand bat,Legbreak,0,26,Zimbabwe
532429,Shabbir Ali,"April 5, 1993, Usta Mohammad, Baluchistan",Left-hand bat,Slow left-arm orthodox,0,8,Pakistan
379143,Quinton de Kock,"December 17, 1992, Johannesburg, Gauteng",Left-hand bat,0,0,138,South Africa
781133,Hwanhee Lee,"June 9, 1982",Right-hand bat,Right-arm offbreak,0,0,
46270,Johann Gerhardus Myburgh,"October 22, 1980, Pretoria, Transvaal",Right-hand bat,Right-arm offbreak,0,76,South Africa
659081,Mark Robert James Watt,"July 29, 1996, Eastern General Hospital, Edinburgh",Left-hand bat,Slow left-arm orthodox,0,18,Scotland
348016,Irfan Ali Karim,"September 25, 1992",Left-hand bat,Right-arm offbreak,0,38,Kenya
36948,Anton Paul Devcich,"September 28, 1985, Hamilton, Waikato",Left-hand bat,Slow left-arm orthodox,0,102,New Zealand
33335,Suresh Kumar Raina,"November 27, 1986, Muradnagar, Ghaziabad, Uttar Pradesh",Left-hand bat,Right-arm offbreak,0,290,India
425943,Sanju Viswanath Samson,"November 11, 1994, Pulluvila, Vizhinjam, Trivandrum",Right-hand bat,0,0,129,India
448236,Moed Ahmed Sheikh,"July 11, 1990, Islamabad, Punjab",Right-hand bat,Slow left-arm orthodox,0,8,Pakistan
424384,K Chandrushekar Avinash,"June 23, 1987, Bangalore, Karnataka",Right-hand bat,0,0,2,India
1081152,Abhishek Beniwal,date unknown,Left-hand bat,0,0,0,India
51451,Virgil Anthony Browne,"September 9, 1974",Right-hand bat,Slow left-arm orthodox,0,2,West Indies
27124,Sanjay Bhatri,"September 18, 1986, Jhalawar, Rajasthan",Right-hand bat,Legbreak,0,0,India
499596,Hangili Gurunhelage Koshan Dhanushka Jayawickrama,"March 4, 1993, Colombo",Right-hand bat,Right-arm offbreak,0,7,Sri Lanka
339509,Shaurya Mahesh Sanandia,"April 24, 1987, Rajkot, Saurashtra",Right-hand bat,Right-arm medium,0,16,India
340063,Kedar Hemant Devdhar,"December 14, 1989, Baroda (now Vadodara), Gujarat",Right-hand bat,0,0,51,India
25053,Christopher Ralai Amini,"June 12, 1984, Port Moresby",Right-hand bat,Right-arm medium,0,18,Papua New Guinea
224367,Yusuf Adam Abdulla,"January 17, 1983, Johannesburg, Transvaal",Left-hand bat,Left-arm fast-medium,0,55,South Africa
27280,Manvinder Sultansingh Bisla,"December 27, 1984, Hisar, Haryana",Right-hand bat,0,0,65,India
327647,Hasan Mahmood,"May 11, 1988, Faisalabad, Punjab",Right-hand bat,Right-arm offbreak,0,3,Pakistan
925687,WP Sachith Hiran,"January 20, 1997, Galle",Right-hand bat,Right-arm offbreak,0,0,Sri Lanka
522898,Charles Andrew John Morris,"July 6, 1992, Hereford",Right-hand bat,Right-arm medium-fast,0,4,England
55633,Christopher Bobby Mpofu,"November 27, 1985, Plumtree, Matabeleland",Right-hand bat,Right-arm fast-medium,0,61,Zimbabwe
440517,Dane Cleaver,"January 1, 1992, Palmerston North",Right-hand bat,Legbreak,0,35,New Zealand
6105,Matthew James Johnston,"October 15, 1985, South Perth, Western Australia",Left-hand bat,Right-arm medium,0,11,Australia
1081235,Pilot Singh,date unknown,0,0,0,0,India
39024,Azhar Mahmood Sagar,"February 28, 1975, Rawalpindi, Punjab",Right-hand bat,Right-arm fast-medium,0,230,Pakistan
243944,Alexander James Blake,"January 25, 1989, Farnborough, Kent",Left-hand bat,Right-arm medium-fast,0,92,England
7443,Nathan John Rimmington,"November 11, 1982, Redcliffe, Queensland",Right-hand bat,Right-arm fast-medium,1.77 m,81,Australia
45387,Alistair John Alec Gray,"July 8, 1982, Johannesburg",Right-hand bat,Legbreak,0,22,South Africa
386982,Abdullah Shahid,"June 4, 1974",0,Right-arm medium-fast,0,0,Maldives
1137745,Tharindu Maduranga,date unknown,0,0,0,4,Sri Lanka
642533,Abhimanyu Randhirsingh Lamba,"October 31, 1995, Hanumangarh, Rajasthan",Right-hand bat,Right-arm medium,0,3,India
934532,Han Junhui,"November 3, 1998, China",Right-hand bat,Right-arm offbreak,0,0,China
56093,Mohammad Raqibul Hasan,"October 8, 1987, Jamalpur",Right-hand bat,Legbreak,0,26,Bangladesh
430246,Yuzvendra Singh Chahal,"July 23, 1990, Jind, Haryana",Right-hand bat,Legbreak googly,0,127,India
500154,Kumar Deobrat Singh,"October 24, 1992, Bokaro, Bihar",Right-hand bat,0,0,41,India
225977,Fakhar Hussain,"July 8, 1978, Gujrat, Punjab",Right-hand bat,Right-arm medium-fast,0,6,Pakistan
431912,Khesan Yannick Gabriel Ottley,"September 7, 1991, Trinidad",Right-hand bat,Slow left-arm orthodox,0,15,West Indies
210283,Steven Thomas Finn,"April 4, 1989, Watford, Hertfordshire",Right-hand bat,Right-arm fast-medium,6 ft 7 in,81,England
52428,Neil Christopher McGarrell,"July 12, 1972, Georgetown, Demerara, Guyana",Right-hand bat,Slow left-arm orthodox,0,12,United States of America
303341,Reinhardt Strydom,"June 16, 1977, Cape Town",Left-hand bat,Left-arm medium-fast,0,5,Ireland
793413,Zeeshan Malik,"December 26, 1996, Chakwal",Right-hand bat,Right-arm offbreak,0,2,Pakistan
469802,Brett Alan Hutton,"February 6, 1993, Doncaster, Yorkshire",Right-hand bat,Right-arm medium,0,1,England
1048879,L Kiran Akash,date unknown,Right-hand bat,Right-arm medium-fast,0,0,India
55354,Chamunorwa Justice Chibhabha,"September 6, 1986, Masvingo",Right-hand bat,Right-arm medium,0,80,Zimbabwe
5993,Bradley Keith Ipson,"September 17, 1980",Left-hand bat,Slow left-arm orthodox,0,2,Australia
1057421,Rohan Raju,"June 26, 1996",Right-hand bat,Right-arm medium-fast,0,0,India
926221,Shenith Joel Pinto,date unknown,0,0,0,0,
232439,Ronald Benade,"March 31, 1987, Harare",Right-hand bat,Right-arm medium-fast,0,6,Zimbabwe
579120,SP Nathan,date unknown,Right-hand bat,Right-arm offbreak,0,0,India
1046603,Mudassar Muhammad,"April 2, 1981",0,0,0,0,Germany
45800,Jon Carter Kent,"May 7, 1979, Cape Town, Cape Province",Right-hand bat,Right-arm medium-fast,0,41,South Africa
352207,Mian Ehsan Latif,"May 8, 1985, Berlin",Right-hand bat,Left-arm medium-fast,0,0,Germany
669365,Philip Dean Salt,"August 28, 1996, Bodelwyddan, North Wales",Right-hand bat,Right-arm offbreak,0,11,England
714451,Shivam Dubey,"June 26, 1993",Left-hand bat,Right-arm medium,0,13,India
56264,Abdullah Al Mamun,"February 17, 1985, Comilla",Right-hand bat,Right-arm medium-fast,5 ft 10 in,2,Bangladesh
1075905,Thelge Suresh Peiris,"October 2, 1990, Panadura",Left-hand bat,Slow left-arm chinaman,0,3,Sri Lanka
470085,Shehan Ian Fernando,"April 14, 1993, Dambadeniya",Right-hand bat,Right-arm offbreak,5 ft 8 in,23,Sri Lanka
353429,Shivsinh Jaysinh Thakor,"October 22, 1993, Leicester",Right-hand bat,Right-arm medium,0,34,England
16406,Michael John Lumb,"February 12, 1980, Johannesburg, Transvaal, South Africa",Left-hand bat,Right-arm medium,6 ft 0 in,221,England
372116,Temba Bavuma,"May 17, 1990, Cape Town, Cape Province",Right-hand bat,Right-arm medium,0,42,South Africa
233400,Gyanendra Malla,"September 16, 1990, Nepal",Right-hand bat,0,0,33,Nepal
1081151,Arjun Tewatiya,date unknown,Left-hand bat,0,0,0,India
